person,gender,popularity
Lauren Hadaway,F,1.96
Shawn Broes,NS,0.6
Bruce Del Castillo,M,2.705
Sara Ghaffar,NS,0.694
Laurent Gillet,NS,0.6
Brittany Montero,NS,0.6
Mark Webb,NS,0.6
Mary Ramos,F,0.98
Mark Ulano,M,2.869
Mark Ulano,M,2.869
Molly Tissavary,NS,0.6
Gregor Tavenner,NS,1.22
Jen R. Clark,NS,0.6
Holly E. McCarthy,NS,0.6
Mike Edmonson,NS,0.6
Kil Won Yu,NS,1.38
Megan Louise Smith,NS,0.6
Ashley Bradford,NS,0.6
Patrick Ready,NS,0.6
Louise DeCordoba,NS,0.6
Nick Marra,NS,0.6
William Paul Clark,M,1.22
Billy Hobson,M,0.6
Coco Francini,NS,0.6
Matt Lange,NS,0.6
Leonardo DiCaprio,M,66.736
Brad Pitt,M,56.496
Margot Robbie,F,50.993
Emile Hirsch,M,26.845
Margaret Qualley,F,12.172
Timothy Olyphant,M,49.625
Julia Butters,F,21.868
Austin Butler,M,94.319
Dakota Fanning,F,30.547
Bruce Dern,M,19.77
Mike Moh,M,4.619
Luke Perry,M,13.31
Damian Lewis,M,10.966
Al Pacino,M,68.403
Nicholas Hammond,M,4.745
Samantha Robinson,F,6.634
Rafał Zawierucha,M,7.459
Lorenza Izzo,F,10.283
Costa Ronin,M,3.024
Damon Herriman,M,8.497
Lena Dunham,F,5.025
Madisen Beaty,F,7.532
Mikey Madison,F,26.385
James Landry Hébert,M,9.551
Maya Hawke,F,16.226
Victoria Pedretti,F,63.057
Sydney Sweeney,F,140.582
Harley Quinn Smith,F,6.721
Dallas Jay Hunter,F,0.98
Kansas Bowling,F,3.72
Parker Love Bowling,NS,0.752
Cassidy Vick Hice,F,1.977
Ruby Rose Skotchdopole,F,1.62
Danielle Harris,F,16.945
Josephine Valentina Clark,NS,0.6
Scoot McNairy,M,13.703
Clifton Collins Jr.,M,9.6
Marco Rodríguez,M,3.757
Ramón Franco,M,2.641
Raúl Cardona,M,0.6
Courtney Hoffman,F,1.306
Dreama Walker,F,9.275
Rachel Redleaf,F,1.271
Rebecca Rittenhouse,F,6.661
Rumer Willis,F,8.388
Spencer Garrett,M,3.323
Clu Gulager,M,8.577
Martin Kove,M,17.621
Rebecca Gayheart,F,8.596
Kurt Russell,M,36.334
Zoë Bell,F,5.737
Michael Madsen,M,16.493
Perla Haney-Jardine,F,10.689
James Remar,M,13.007
Monica Staggs,F,2.25
Craig Stark,M,1.896
Keith Jefferson,M,0.763
Omar Doom,M,2.656
Kate Berlant,F,7.044
Victoria Truscott,F,1.22
Allison Yaple,NS,0.6
Bruce Del Castillo,M,2.705
Brenda Vaccaro,F,15.952
Lew Temple,M,4.731
Daniella Pick,NS,0.6
David Steen,M,1.62
Mark Warrack,NS,0.6
Gabriela Flores,F,2.983
Heba Thorisdottir,F,0.6
Breanna Wing,NS,1.094
Kenneth Sonny Donato,NS,0.6
Sergio Gonzalez,NS,0.6
Casey O'Neill,M,4.054
Michael Graham,M,1.094
Emile Williams,NS,0.98
Vincent Laresca,M,5.734
JLouis Mills,NS,0.6
Gilbert Saldivar,NS,1.166
Maurice Compte,M,12.302
Eddie Perez,M,4.097
Hugh McCallum,NS,0.6
Zander Grable,M,0.98
Ed Regine,NS,0.6
Michael Bissett,NS,0.6
Lenny Langley Jr.,NS,0.6
Gillian M. Berrow,F,0.84
Chad Ridgely,M,1.4
Chic Daniel,M,2.059
Corey Burton,M,9.91
Michaela Sprague,F,1.566
Ryan Ramirez,NS,0.6
Kayla Jenee Radomski,F,1.62
Kerry Westcott,F,1.346
William DeAtley,M,0.6
Brianna Joy Chomer,F,7.642
Quentin Tarantino,M,27.877
Johnny Otto,M,3.004
Gina Aponte,F,2.577
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Tim Roth,M,20.822
Robert Richardson,M,3.54
Harry Cohen,M,1.38
Zoë Bell,F,5.737
Victoria Thomas,F,3.275
John Dexter,M,4.97
Nancy Haigh,F,0.618
Georgia Kacandes,F,0.6
Georgia Kacandes,F,0.6
Barbara Ling,F,0.996
Richard L. Johnson,M,1.009
Toni Basil,F,6.284
Jim Palmer,M,2.055
David Heyman,M,2.216
Tim Monich,NS,0.714
James Marsden,M,30.179
John Dykstra,M,1.4
Adam West,M,11.607
Burt Ward,M,2.405
Arianne Phillips,F,0.6
Sergio Corbucci,M,5.545
Fred Raskin,M,1.625
Martin Kitrosser,M,2.389
Gregory Nicotero,M,2.921
Kathy Lucas,F,2.084
Gary Archer,M,1.094
Yu Dong,M,0.6
Keith Jardine,M,2.586
Paul Sonski,NS,0.84
Jeremy Fitzgerald,M,4.094
Richard Schuler,NS,0.6
Peter Epstein,M,0.84
Toby Holguin,M,1.96
Marcus Young,M,0.828
Greg Funk,M,1.4
Ian Kincaid,NS,0.84
Tara Macken,F,3.082
Jeffrey Chan,NS,0.6
William Fletcher,NS,0.828
Debra Tate,NS,0.98
Shannon McIntosh,F,0.6
Eric Sundahl,M,1.008
Nichole Galicia,F,19.137
Sarah Contant,F,0.6
Gary A. Hecker,M,3.431
Samuel Le,NS,1.38
Andrés Murillo,NS,0.6
Tristan Paris Bourne,NS,0.6
Betsy Glick,NS,0.6
Jean Ann Black,NS,0.63
Lynda Foote,NS,0.6
Sylvain Lasseur,NS,0.6
Sam Page,NS,1.266
Anne Porter,F,0.6
Tom Hartig,M,1.38
Patrushkha Mierzwa,NS,1.38
Nathan Kelly,NS,0.6
Wylie Stateman,M,2.076
Susannah Carradine,F,0.6
Corey Bronson,NS,0.694
Christian P. Minkler,M,0.6
Rick Owens,NS,0.694
Sara Philpott,NS,0.6
Andrew Cooper,M,1.123
Heba Thorisdottir,F,0.6
Pete Romano,M,3.15
Michael Minkler,M,1.22
Lisa Tutunjian,NS,0.828
Tina Anderson,F,0.6
Angel Acosta,NS,0.6
Shari Ratliff,NS,0.6
Henry Tirl,M,0.609
Rob O'Malley,NS,0.6
John R. Manocchia,M,0.6
Will Casey,NS,0.6
Janine Rath,NS,1.528
Sian Grigg,NS,2.209
Andrew Blustain,NS,0.6
Kyle Rochlin,M,0.6
Anna Quinn,F,0.6
Michael Thurman,NS,1.38
Mark Weissenfluh,NS,0.6
Leigh Bell,NS,0.6
Kelly Porter,NS,1.4
Dana Reed,F,0.98
Jeff Frost,NS,0.6
Eric Salas,M,0.84
Bruce Del Castillo,M,2.705
Chris Tonick,M,0.828
Anthony DiMaria,NS,0.996
Charlotte Nichol,NS,0.6
Jessica Ripka,NS,0.6
Jeremy Hays,NS,1.22
Jimmy Hart,M,0.6
Michelle Diamantides,NS,0.6
Mary Ramos,F,0.98
Mark Ulano,M,2.869
Gregor Tavenner,NS,1.22
Chris Call,M,0.6
Corey Deist,NS,0.6
Michyl-Shannon Quilty,F,0.6
Joel A. Ruiz,NS,0.6
Lisa Hoyle,F,1.094
Cindy Mah,F,0.6
William Paul Clark,M,1.22
William Paul Clark,M,1.22
Marc Tantin,NS,0.828
Vanessa Riegel,F,0.6
Jennifer Yoo,NS,0.6
Chris Centrella,NS,0.6
Mark Aaron Wagner,M,2.507
Tina Charad,NS,0.6
Allan Padelford,NS,0.6
Bryan Lane,NS,0.6
Krystina Figg,NS,0.98
Jared Gibson,NS,0.6
Norman Mora,M,1.586
Dario Perez,NS,0.6
Seana Gorlick,NS,0.6
Braxton McAllister,NS,0.696
Marc Banich,NS,0.6
Stephen Bettles,NS,0.98
Lauren Baker,NS,0.6
Rio Noel Zumwalt,NS,0.6
Vince Manocchia,NS,0.6
Robin Borman,NS,0.6
Fante Zamora,NS,0.6
Rusty Davis,NS,0.6
Hugh McCallum,NS,0.6
Jason Zorigian,NS,0.6
Michaela McAllister,F,1.96
Dalton Rondell,M,0.6
Jon Nicholson,NS,0.6
Christopher T. Sadler,NS,0.787
Darren Patnode,NS,0.6
Nashon Petrushkin,F,0.6
Brendan Lee,NS,0.6
Mike Byrd,NS,0.6
Maryellen Aviano,F,1.4
Brit DeLillo,F,0.996
Riley Harper,M,2.647
Glen Yrigoyen,M,0.6
Dylan Hice,NS,0.6
Zoe Gardner,NS,0.6
Karl Van Moorsel,NS,0.6
Jory Alvarado,NS,0.6
Carla Lewis,NS,0.6
Chris Howland,NS,0.6
Felicia Leilani Jarvis,NS,0.6
Zach Goheen,NS,1.094
David Tichauer,NS,0.6
Kevin Souls,NS,0.6
Lance Malbon,NS,0.6
Kimberly Shannon Murphy,F,1.317
Amy Redfern,NS,0.6
Leigh Jonte,F,0.694
Edward R. Apodaca,M,0.6
Paul Kahil,NS,0.6
Mike Morales,NS,0.6
Michael James Faradie,M,0.84
Leo Marcil,M,0.6
Leah Holmes,NS,0.6
Brandon Linville,NS,0.6
Christina Beaumont,NS,0.6
Stephen Mapel,NS,0.6
Jessica Adler,NS,0.6
Mayra-Alejandra Garcia,F,0.6
Katie Pruitt,NS,0.6
Paola Magrans,NS,0.6
Celine Eva Gimpirea,NS,0.6
Roxanne Gross,NS,0.629
Daren Metropoulos,NS,0.6
Megan Morris,NS,0.6
Brett Elliott,NS,0.6
Andrew Williams,NS,0.6
Donnell Wiley,NS,0.6
Jose Reyes,NS,0.6
Debbie Chung,NS,0.6
Ericka Poniewaz,NS,0.6
Rob Alonzo,NS,0.6
Rob Alonzo,NS,0.6
Sierra Schotts,NS,0.6
Bill Harrison,M,0.6
