person,gender,popularity
Stephen Pizzo,NS,0.6
Geoff Teagardin,M,0.6
Tracy Thielen,M,0.6
Earl Thielen,M,0.6
Richard Chaim,NS,0.6
Kenneth Pratt,NS,0.6
Jeff Graham,NS,0.6
Courtney Pakiz,NS,0.98
John Warner,M,0.6
Norm Hvam,NS,0.6
Chris Cullen,NS,0.98
Shannon Hart,NS,0.6
Christy Sumner,F,0.6
James Irons,NS,0.694
Bob Ivanjack,NS,0.6
Cathy Ragona,NS,0.6
Cathy Ragona,NS,0.6
Dimitris Moraitis,NS,0.6
Mike Bertolina,NS,1.471
Tom Lawrence,M,0.84
Alan Kerr,M,0.6
Rick Lange,M,0.6
Linda Stevenson-Khan,NS,0.6
David Coronella,NS,0.6
Stoney Emshwiller,NS,0.6
Craig Hama,NS,0.6
Mark Hutman,NS,0.6
Gerald Martinez,NS,0.6
Patrick Parkhurst,NS,0.6
Sally Reed,NS,0.6
Scott Tabor,NS,0.6
Kathleen McCart,NS,0.6
Eric Potter,M,0.6
Anne Gentling,NS,0.6
Scot A. Nederman-Paul,NS,0.6
Stephen Saunders,NS,0.6
Tom Waisanen,NS,0.6
Josh Drew,NS,0.6
Susan D. Fowler,NS,0.6
Carolyn Duffy,NS,0.6
Lee Kartis,NS,0.6
Lin Coleman,NS,0.6
Kristin Eaton,NS,0.6
Kyle Oliver,M,0.6
Eric Greenspan,NS,0.6
Elizabeth Gregory,NS,0.6
John Katovsich,NS,0.6
Paul Burlin,NS,0.6
Curtis Clark,NS,0.6
Jeff Coffman,NS,0.6
Sunday Coony,NS,0.6
Ken Day,NS,0.6
David Garris,NS,0.6
Scotty Goudreau,NS,0.6
David Joseph,M,0.6
Erin Maguire,NS,0.6
George Nadian,NS,0.6
Laurence John Reynolds,NS,0.6
Matthew Arnold,NS,0.6
Paul Candice,NS,0.6
David Chute,M,0.6
Kim Crockett,NS,0.6
Carolyn Sara Fine,NS,0.6
Robert Gonzalez,NS,0.6
Scott A. Hale,NS,0.6
Bill Miller,NS,0.6
Bret Robins,NS,0.6
Nick Salick,NS,0.6
John Starr,NS,0.6
Teron Stevenson,NS,0.6
David Tesi,NS,0.6
Adam Wallace,NS,0.6
Peter Christian White,NS,0.6
Ann Du Val,NS,0.6
Carlos K. Goodman,NS,0.6
Jeff Springer,NS,0.6
Uma Thurman,F,31.486
Lucy Liu,F,35.01
Vivica A. Fox,F,16.018
Daryl Hannah,F,18.971
David Carradine,M,16.337
Michael Madsen,M,16.493
Julie Dreyfus,F,7.353
Chiaki Kuriyama,F,7.711
Shin'ichi Chiba,M,4.934
Gordon Liu Chia-hui,M,10.954
Michael Parks,M,5.003
Michael Bowen,M,5.52
Jun Kunimura,M,8.367
Kenji Ohba,M,4.711
Yuki Kazamatsuri,F,9.246
James Parks,M,3.283
Sakichi Satō,M,2.177
Jonathan Loughran,M,7.579
Yoshiyuki Morishita,M,1.74
Tetsuro Shimaguchi,M,0.6
Kazuki Kitamura,M,6.443
Yoji Tanaka,M,4.49
Sō Yamanaka,M,1.634
Juri Manase,F,2.744
Akaji Maro,M,5.163
Goro Daimon,M,0.6
Shun Sugata,M,3.028
Zhang Jinzhan,M,0.6
Hu Xiaohui,NS,0.6
Ambrosia Kelley,F,2.641
Sachiko Fujii,F,1.214
Shu Lan Tuan,F,2.962
Ai Maeda,F,3.898
Naomi Kusumi,M,2.232
Hikaru Midorikawa,M,5.998
Issey Takahashi,M,5.251
The 5.6.7.8's,F,0.6
Robert Rodriguez,M,9.312
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Quentin Tarantino,M,27.877
Lawrence Bender,M,1.646
Uma Thurman,F,31.486
Robert Richardson,M,3.54
Sally Menke,F,2.391
Julie Dreyfus,F,7.353
Koko Maeda,F,2.067
